,neighbourhood,number_of_reviews
0,"Brightwood Park, Crestwood, Petworth",13429
1,"Brookland, Brentwood, Langdon",5337
2,"Capitol Hill, Lincoln Park",31095
3,"Capitol View, Marshall Heights, Benning Heights",1607
4,"Cathedral Heights, McLean Gardens, Glover Park",2650
5,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",2873
6,"Colonial Village, Shepherd Park, North Portal Estates",783
7,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",26478
8,"Congress Heights, Bellevue, Washington Highlands",1791
9,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",538
10,"Douglas, Shipley Terrace",1069
11,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",9006
12,"Dupont Circle, Connecticut Avenue/K Street",19339
13,"Eastland Gardens, Kenilworth",223
14,"Edgewood, Bloomingdale, Truxton Circle, Eckington",28225
15,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",280
16,"Friendship Heights, American University Park, Tenleytown",3481
17,"Georgetown, Burleith/Hillandale",8120
18,"Hawthorne, Barnaby Woods, Chevy Chase",1540
19,Historic Anacostia,1569
20,"Howard University, Le Droit Park, Cardozo/Shaw",11024
21,"Ivy City, Arboretum, Trinidad, Carver Langston",7510
22,"Kalorama Heights, Adams Morgan, Lanier Heights",11085
23,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",1657
24,"Mayfair, Hillbrook, Mahaning Heights",854
25,"Near Southeast, Navy Yard",800
26,"North Cleveland Park, Forest Hills, Van Ness",751
27,"North Michigan Park, Michigan Park, University Heights",2591
28,"River Terrace, Benning, Greenway, Dupont Park",1544
29,"Shaw, Logan Circle",24052
30,"Sheridan, Barry Farm, Buena Vista",885
31,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",5221
32,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",1303
33,"Takoma, Brightwood, Manor Park",3148
34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",2064
35,"Union Station, Stanton Park, Kingman Park",33196
36,"West End, Foggy Bottom, GWU",7670
37,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",209
38,"Woodridge, Fort Lincoln, Gateway",2034
