id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3362,"Convention Center Rowhouse & In Law: 2 Units, 4BR",2798,Ayeh,,"Shaw, Logan Circle",38.91046091401157,-77.01933067654679,Entire home/apt,433,2,152,2018-10-28,1.27,5,322
3662,Vita's Hideaway II,4645,Vita,,Historic Anacostia,38.861925194900415,-76.98963434965466,Private room,65,2,35,2018-06-02,0.38,3,364
3686,Vita's Hideaway,4645,Vita,,Historic Anacostia,38.86313751339534,-76.98836211138284,Private room,55,2,68,2018-10-27,0.69,3,365
3771,Mt. Pleasant,4795,Charlene,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.927604665445834,-77.03926480030661,Private room,88,1,1,2009-01-21,0.01,1,0
4002,2 Bedroom Private Condo Suite (Basement Apt),5143,Anthony,,"North Michigan Park, Michigan Park, University Heights",38.94008356704416,-76.98935954361633,Entire home/apt,120,2,149,2018-11-13,1.25,1,232
4197,Bedroom in DC 2 blocks to Metro,5061,Sandra,,"Capitol Hill, Lincoln Park",38.88790588233889,-76.99667843544532,Private room,83,4,37,2018-09-30,0.32,2,134
4283,Adams Morgan Quiet Sunny Lrg 2 Bd w/Porch,5498,Eddie & Joanie,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92203154137748,-77.04447366862459,Entire home/apt,135,28,13,2018-11-02,0.12,1,172
4501,DC Rowhouse,1585,Kip,,"Shaw, Logan Circle",38.913307058781214,-77.02435773855073,Private room,475,2,120,2015-07-16,1.00,1,0
4529,Bertina's  House Part One,5803,Bertina'S House,,"Eastland Gardens, Kenilworth",38.906449391815194,-76.9430500422135,Private room,52,5,99,2018-05-11,0.88,3,179
5589,Cozy in Adams Morgan,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91932700130209,-77.04123783141962,Entire home/apt,118,1,77,2018-10-28,0.69,3,46
6165,Private Bath & Laundry  + Huge Lower Level Suite,5782,Val,,"Brightwood Park, Crestwood, Petworth",38.95479219389107,-77.03631394642159,Private room,51,28,21,2018-09-02,0.20,3,365
8882,Mt.Pleasant ShabbyChic BnB #4 Pr. bath/Close-in DC,27696,Leslie,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93122145692801,-77.040164979298,Private room,110,2,333,2018-10-29,2.97,4,342
8919,Downtown DC- 2 Metro stops to Mall,27910,Jill,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87697997738827,-77.01569104814183,Private room,45,9,47,2016-03-26,0.42,1,346
9097,Adams Morgan Charm,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92029483015231,-77.04205426266857,Shared room,42,1,96,2018-09-14,0.87,3,31
9637,Ian's Room,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92638771457182,-77.07764887746994,Private room,69,1,204,2017-07-29,1.85,4,360
9641,Sophisticated Logan Circle Loft,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.91146479965452,-77.03636078189254,Entire home/apt,195,2,128,2018-10-29,1.21,4,343
10766,Hospitality@HillEast *****,38641,Gena,,"Capitol Hill, Lincoln Park",38.878050631980585,-76.98829590697422,Private room,99,3,68,2018-03-24,0.62,1,0
11785,Sanctuary near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92827751337127,-77.07638063405666,Entire home/apt,125,1,330,2018-10-28,3.07,4,345
12442,Peaches & Cream near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92743626100814,-77.07495926290275,Private room,69,1,53,2018-10-21,0.50,4,361
13744,"Heart of the City -HalfBlock to METRO, Restaurants",53927,Victoria,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92905178412281,-77.03084053372471,Entire home/apt,125,4,20,2018-08-31,0.19,1,340
13824,Natural Setting in DC,54317,Chris & Erin,,"Brightwood Park, Crestwood, Petworth",38.95845371393953,-77.03763669759724,Entire home/apt,100,1,136,2018-08-24,1.25,1,310
14218,Quiet Comfort near Nat'l Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92699525604863,-77.07644550751714,Private room,69,1,74,2018-08-19,0.81,4,355
14570,Downtown Spacious Bedroom & Private Bath,56646,Serge,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90426842657193,-77.02655963085508,Private room,85,3,521,2018-11-11,4.87,1,275
16641,Dupont Circle Convenience,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.913808615947445,-77.04538347854101,Entire home/apt,150,2,62,2018-10-25,0.59,4,363
16684,Capitol Hill Guest Suite,64814,Matt+Jean,,"Union Station, Stanton Park, Kingman Park",38.89866103939327,-77.00179416353818,Entire home/apt,93,30,166,2018-07-30,1.54,2,182
16994,[1471-1] 1BR Near Convention Center,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90374346821193,-77.02650955368796,Entire home/apt,249,7,1,2010-07-06,0.01,62,364
16996,[1471-3BR] - Lux 3BR Penthouse-Near Verizon Center,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.903203553000694,-77.0250578888554,Entire home/apt,870,2,0,,,62,364
17377,[425-1C]1BR Near Convention Center,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.901671244170885,-77.01742494045739,Entire home/apt,249,3,1,2013-10-12,0.02,62,365
17380,[1477-2W] Luxury 2BR in Logan Circle High Rise,25188,Seamless,,"Shaw, Logan Circle",38.90635217789528,-77.03271242529995,Entire home/apt,309,3,2,2018-04-05,0.02,62,89
17381,[1477-1W] Lux 1 BRs  inLogan Circle,25188,Seamless,,"Shaw, Logan Circle",38.907825804661485,-77.03165388327221,Entire home/apt,229,5,0,,,62,89
18883,[1396-J1]Jr.1BR- Newseum Residences,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.893530629098734,-77.01899576659451,Entire home/apt,239,4,0,,,62,364
20067,Embassy Row /Glover Park,75938,Marie,,"Cathedral Heights, McLean Gardens, Glover Park",38.924656705359205,-77.06833629741776,Private room,75,3,77,2018-11-07,0.74,1,85
20832,[1375-2ST-1] Lux 2BR - Only 1 Block To White House,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89909726696623,-77.03269054540472,Entire home/apt,349,4,29,2018-04-08,0.32,62,89
22453,Elegant Logan Circle Loft Share,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.90932654694968,-77.03484464422492,Shared room,90,2,86,2018-04-29,0.82,4,191
22943,[1142-1D-W] Lux 1 Bedroom w/Den - Georgetown,25188,Seamless,,"West End, Foggy Bottom, GWU",38.90424446699195,-77.05277223367739,Entire home/apt,249,3,1,2011-05-27,0.01,62,364
23378,[1396-1CH]1BR At Newseum Residences,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.891977980783274,-77.0128933708404,Entire home/apt,249,4,7,2017-05-03,0.07,62,364
23385,[1398-2W] Lux 2BR at Newseum Residences,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.893681550672135,-77.01920769791205,Entire home/apt,359,4,5,2013-10-28,0.06,62,89
23855,[1536]2 BR at West End 25 Lofts,25188,Seamless,,"West End, Foggy Bottom, GWU",38.90552945553253,-77.0521479516221,Entire home/apt,279,3,8,2013-07-07,0.08,62,361
24134,"Clean and Cozy in Bloomingdale, NW",75679,Dr. Koura,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91357690983196,-77.01046524272712,Private room,35,1,270,2018-11-07,7.14,9,85
24712,"Modern Luxury, Jacuzzi Tub & Fireplace",100727,Capital Vacation,,"Brightwood Park, Crestwood, Petworth",38.9459232859771,-77.02330972624152,Entire home/apt,309,4,99,2018-10-18,1.13,2,342
24720,"Adam's Eden,Perfect for families",100761,Adam,,"Brightwood Park, Crestwood, Petworth",38.95471027625005,-77.02137009063601,Entire home/apt,215,1,2,2015-01-02,0.03,1,179
25185,Elegant Adams Morgan Condo near museums & dining,103970,Amy & Jeffrey,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92194496356501,-77.04622044459317,Entire home/apt,149,2,14,2018-09-16,0.45,1,335
25216,[PC108] Fully Furnished 1 Bedroom-Logan Circle,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.904230307530725,-77.02863357876424,Entire home/apt,220,180,0,,,62,364
25222,[1398-1] Lux High-Rise Apartments,25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899045883760685,-77.01599830159448,Entire home/apt,239,4,1,2010-04-23,0.01,62,365
25243,The Smithsonian Vacation House,104340,Wavely,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88224887930988,-77.0177390027796,Entire home/apt,379,1,20,2018-10-27,0.42,2,357
25366,Convention Center Rowhouse on P ST NW (3BR/2.5BA),2798,Ayeh,,"Shaw, Logan Circle",38.907491176455174,-77.02546463761007,Entire home/apt,385,2,121,2018-10-12,1.21,5,322
25721,[PC104] 1 Bedroom at  View 14  - U St. Corridor,25188,Seamless,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.921468819570215,-77.03131199463567,Entire home/apt,229,4,3,2012-10-02,0.03,62,365
25838,"[1146-2] Lux 2 Bedroom, 2 Baths at Gallery Place",25188,Seamless,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89934123791646,-77.01777993229297,Entire home/apt,299,3,10,2015-05-19,0.11,62,365
26147,Beautiful Cozy Full  Bed Room,5782,Val,,"Brightwood Park, Crestwood, Petworth",38.953127959197225,-77.03583472774469,Private room,40,28,9,2018-08-20,0.09,3,349
